WORD;FREQ
covid;222130
patients;133031
sarscov;72701
disease;68811
pandemic;64552
health;59522
coronavirus;57029
study;49334
infection;45797
data;45488
results;45437
cases;44425
clinical;42595
severe;36201
respiratory;34365
care;34303
risk;33981
virus;31623
also;31291
treatment;29578
methods;27379
used;26194
model;25567
time;24604
number;24439
new;23745
analysis;23616
social;23006
studies;22693
associated;22625
viral;21569
public;21471
high;21131
among;20965
including;20887
spread;20585
symptoms;20181
outbreak;20134
two;20113
one;19668
different;19652
research;19639
measures;19540
based;19528
countries;19436
potential;19373
syndrome;19256
china;18989
first;18918
medical;18871
control;18868
reported;18759
patient;18710
novel;18684
mortality;18580
higher;18454
case;18233
hospital;18001
ci;17890
group;17706
system;17664
days;17614
transmission;17564
rate;17478
world;17417
positive;17360
current;17354
significant;16984
global;16968
population;16932
compared;16733
impact;16616
epidemic;16458
review;16261
age;16144
human;15891
people;15864
information;15595
years;15509
factors;15347
response;15240
increased;15107
findings;15066
healthcare;15021
provide;14888
management;14853
background;14636
confirmed;14471
infected;14459
present;14340
many;13934
outcomes;13818
available;13815
total;13692
found;13650
evidence;13626
early;13565
march;13313
levels;13287
effective;13275
significantly;13259
important;13202
cells;13113
testing;12880
development;12867
showed;12810
conclusions;12689
included;12688
effects;12628
related;12622
pneumonia;12493
n;12463
infections;12422
caused;12398
identified;12256
three;12167
paper;12140
period;12056
diseases;12009
role;11965
support;11929
protein;11832
level;11662
test;11456
individuals;11430
ct;11323
conclusion;11201
within;11102
diagnosis;11018
increase;11000
models;10969
approach;10967
performed;10934
la;10849
strategies;10842
critical;10724
work;10633
wuhan;10629
across;10473
future;10422
article;10376
emergency;10357
lung;10356
drugs;10299
deaths;10189
several;10082
death;9981
developed;9972
changes;9923
effect;9855
